name_am,name_en,name_short
ኦሮሚያ,The State of Oromia,Oromia
አማራ,The State of Amhara,Amhara
ትግራይ,The State of Tigray,Tigray
አፋር,The State of Afar,Afar
ደቡብ ብሔሮች፣ ብሔረሰቦችና ሕዝቦች,"The State of the Southern Nations, Nationalities &
Peoples",SNNP
አዲስ አበባ ከተማ አስተዳደር,Addis Ababa City Government,Addis Ababa
ሱማሌ,The State of Somalia,Somalia
ሲዳማ,The State of Sidama,Sidama
ደቡብ ምዕራብ ኢትዮጵያ ሕዝቦች ክልል,"The State of Southern West Ethiopia Peoples",SWEP
ቤንሻንጉሌ/ጉሙዝ ክሌሌ,The State of Benshangul/Gumuz,Benshangul Gumuz
ሐረሪ,The State of the Harari People,Harari
ጋምቤላ,The State of the Gambela Peoples,Gambela
ድሬዳዋ,Dire Dawa Administration,Dire Dawa
ደቡብ ኢትዮጵያ,The State of South Ethiopia,South Ethiopia
ማዕከሊዊ ኢትዮጵያ,The State of Central Ethiopia,Central Ethiopia